SlNo.	Rb	Nb	Ta	La	Ce	Nd	Sr	Sm	Ti	Eu	Gd	Tb	Dy	Y	Er	Yb	Lu	\n
Sng_0006	38.00	14.00	NaN	54.00	107.00	50.80	657.00	10.10	4076.65	1.89	7.70	1.11	5.50	16.00	2.60	1.90	0.27	\n
Sng_0033	74.00	6.00	0.60	44.90	77.70	25.10	522.00	3.30	2278.13	0.88	1.80	0.20	1.00	5.00	0.50	0.50	0.07	\n
Sng_0037	90.00	5.00	0.40	31.70	55.30	16.80	617.00	2.40	1558.72	0.74	1.50	0.20	0.80	9.00	0.40	0.30	0.05	\n
Sng_0032	72.00	4.00	1.40	35.80	60.10	17.50	404.00	2.60	1738.57	0.74	1.90	0.20	1.10	6.00	0.60	0.70	0.11	\n
Sng_0036	62.00	5.00	1.70	28.60	52.00	17.50	544.00	2.80	1558.72	0.76	1.80	0.30	1.40	12.00	0.60	0.60	0.10	\n
Sng_0034	74.00	4.00	0.40	17.90	32.10	10.80	373.00	1.70	1199.02	0.51	1.20	0.20	0.80	8.00	0.40	0.40	0.06	\n
Sng_0052	59.00	NaN	NaN	28.10	52.50	18.60	494.00	3.03	1528.75	0.82	1.85	0.20	0.97	5.20	0.41	0.31	0.05	\n
Sng_0016	78.00	9.00	NaN	58.00	102.00	31.40	413.00	4.50	1762.55	0.93	3.20	0.30	1.70	7.00	0.80	0.70	0.11	\n
Sng_0019	116.00	7.00	NaN	43.60	77.20	25.20	337.00	4.20	2032.33	0.79	3.00	0.40	2.20	12.00	1.00	0.90	0.12	\n
