P	T	Melt	Cpx	Opx	Plag	Amp	Bt	Grt	Ilm	Sph	Ru	Qtz	\n
8.50	850	6	10.674	0.000	24.370	51.785	0.000	1.750	0.000	0.000	0.000	5.900	\n
8.75	875	9	13.530	0.000	24.504	42.204	0.000	6.357	0.070	0.000	0.000	3.972	\n
9.01	901	15	17.050	0.000	24.741	30.215	0.000	11.518	0.377	0.000	0.000	1.441	\n
9.25	925	19	19.138	2.026	25.503	20.890	0.000	13.021	0.675	0.000	0.000	0.000	\n
9.42	942	21	20.693	0.592	22.869	17.233	0.000	17.142	0.000	0.000	0.473	0.000	\n
9.75	975	26	22.563	0.000	20.732	10.408	0.000	19.936	0.000	0.000	0.634	0.000	\n
10.00	1000	30	23.529	0.000	19.483	5.728	0.000	20.667	0.000	0.000	0.769	0.000	\n










	
	
