P	T	Melt	Cpx	Opx	Plag	Amp	Bt	Grt	Ilm	Sph	Ru	Qtz	\n
10.67	800	4	2.456	0.000	13.200	67.719	0.000	0.118	0.000	0.000	0.402	12.270	\n
11.33	850	11	6.487	0.000	14.085	46.900	0.000	12.860	0.000	0.000	0.638	8.110	\n
11.67	875	16	9.343	0.000	14.221	34.665	0.000	19.721	0.000	0.000	0.836	5.548	\n
12.00	900	22	12.778	0.000	13.990	20.610	0.000	27.336	0.000	0.000	1.108	2.446	\n
12.21	916	27	15.422	0.000	13.552	9.991	0.000	33.004	0.000	0.000	1.342	0.000	\n
12.67	950	31	16.401	0.000	10.736	3.659	0.000	36.668	0.000	0.000	1.484	0.000	\n
13.00	975	35	16.710	0.000	8.364	0.000	0.000	38.542	0.000	0.000	1.584	0.000	\n









	
	
