Phases	Rb	Nb	Ta	La	Ce	Nd	Sr	Sm	Ti	Eu	Gd	Tb	Dy	Y	Er	Yb	Lu	\n
Cpx	0.0100	0.0070	0.0280	0.0280	0.0590	0.1150	0.0320	0.2590	0.4730	0.3410	0.4220	0.5020	0.5700	0.6030	0.6400	0.6350	0.6170	\n
Opx	0.0470	0.0100	0.1260	0.0003	0.0007	0.0028	0.0470	0.0085	0.5000	0.6800	0.0200	0.0300	0.0430	0.0540	0.0790	0.1250	0.1490	\n
Plag	0.0680	0.2390	0.0530	0.3580	0.3390	0.2890	4.0000	0.2370	0.0780	2.1700	0.1920	0.1700	0.1500	0.1380	0.1170	0.0940	0.0850	\n
Amp	0.0550	0.8000	0.3800	0.3190	0.5600	1.3200	0.3890	2.0900	4.0300	1.7900	2.5300	2.6000	2.5500	2.4700	2.2200	1.7900	1.5900	\n
Bt	2.2500	0.0850	0.1070	0.0200	0.0300	0.0300	0.1000	0.0400	3.5000	0.0310	0.0400	0.0500	0.0600	0.0700	0.0900	0.1100	0.1200	\n
Grt	0.0007	0.0400	0.0800	0.0280	0.0800	0.2220	0.0190	1.4300	2.6300	1.5400	4.8400	7.8000	11.5000	14.1000	18.8000	23.2000	24.1000	\n
Ilm	0.0250	45.0000	40.0000	0.0150	0.0120	0.0100	0.0022	0.0090	150.0000	0.0100	0.0110	0.0180	0.0200	0.0370	0.0670	0.1300	0.1900	\n
Sph	0.5000	2.2000	6.5500	4.7300	7.5700	12.4000	2.6800	14.0000	67.0000	13.8000	11.9000	10.0000	8.2700	5.4200	5.5400	3.0200	2.0000	\n
Ru	0.0076	42.8000	68.0000	0.0057	0.0065	0.0082	0.0360	0.0954	45.0000	0.0004	0.0106	0.0111	0.0116	0.0118	0.0122	0.0126	0.0127	\n
Qtz	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	\n
