Age	CorrLaYb
3459	48.65
3459	43.97
3459	39.21
3440	37.88
3437	50.76
3437	50.46
3421	44.80
3421	53.28
3421	41.91
3421	34.19
3421	22.26
3369	52.74
3369	54.82
3369	45.55
3369	44.65
3363	52.86
3440	42.18
3347	51.71
3336	60.19
3331	44.89
3326	51.66
3323	NaN
3323	56.89
3323	50.09
3323	47.38
3323	52.74
3323	46.08
3323	45.60
3323	46.10
3316	43.99
3316	49.65
3316	40.43
3316	51.14
3300	NaN
3300	62.55
3300	44.38
3300	49.38
3300	48.08
3300	47.82
3300	55.27
3292	46.65
3291	44.68
3285	NaN
3261	49.53
3261	48.07
3246	58.22
3246	50.68
3246	45.70
3471	25.99
3470	27.70
3459	29.01
3459	39.16
3445	51.32
3445	43.56
3421	34.43
3421	32.25
3380	NaN
3369	43.85
3347	44.86
3336	54.23
3334	44.30
3325	58.07
3323	41.69
3316	42.41
3304	43.17
3304	44.51
3304	NaN
3304	48.04
3291	50.66
3291	52.41
3291	50.95
3261	48.73	
3246	45.58
3299	53.74
