Age	K/Na
3459	0.40
3459	0.48
3459	0.34
3440	0.38
3437	0.26
3437	0.27
3421	0.25
3421	0.59
3421	0.38
3421	0.20
3421	0.38
3369	0.35
3369	0.53
3369	0.35
3369	0.54
3363	0.33
3440	0.30
3347	0.57
3336	0.28
3331	0.54
3326	0.44
3323	0.41
3323	0.21
3323	0.26
3323	0.27
3323	0.24
3323	0.31
3323	0.29
3323	0.54
3316	0.19
3316	0.47
3316	0.18
3316	0.23
3300	0.37
3300	0.48
3300	0.33
3300	0.50
3300	0.57
3300	0.38
3300	0.60
3292	0.59
3291	0.42
3285	0.16
3261	0.39
3261	0.51
3246	0.27
3246	0.26
3246	0.25
3471	0.43
3470	0.39
3459	0.65
3459	0.12
3445	0.68
3445	0.77
3421	0.41
3421	0.37
3380	0.27
3369	0.70
3347	0.76
3336	0.78
3334	0.65
3325	0.71
3323	0.63
3316	0.59
3304	0.64
3304	0.67
3304	0.70
3304	0.80
3291	0.70
3291	0.74
3291	0.78
3261	0.78
3249	1.01
3318	1.02
3291	1.06
3249	1.09
3249	1.09
3249	1.21
3347	1.22
3304	1.52
3304	1.56
3351	0.91
3249	0.92
3369	0.93
3325	0.95
3336	0.97
3080	1.03
3279	1.08
3087	1.10
3279	1.11
3325	1.22
3080	1.22
3325	1.26
3279	1.29
3279	1.29
3279	1.33
3279	1.36
3279	1.38
3325	1.41
3080	1.52
3080	1.57
3286	2.14
3320	2.37
3325	0.85
3249	0.86
3249	0.86
3304	0.88
3347	0.91
3246	0.38
3279	0.57
3299	0.67
