Age	Mg#
3459	38
3459	38
3459	34
3440	34
3437	42
3437	51
3421	40
3421	41
3421	39
3421	52
3421	49
3369	37
3369	33
3369	27
3369	31
3363	39
3440	39
3347	26
3336	43
3331	33
3326	31
3323	39
3323	42
3323	40
3323	42
3323	40
3323	39
3323	38
3323	33
3316	32
3316	30
3316	30
3316	34
3300	41
3300	44
3300	40
3300	43
3300	44
3300	42
3300	38
3292	30
3291	34
3285	29
3261	35
3261	35
3246	40
3246	36
3246	29
3471	41
3470	28
3459	37
3459	28
3445	43
3445	39
3421	49
3421	49
3380	59
3369	32
3347	28
3336	39
3334	30
3325	33
3323	33
3316	27
3304	27
3304	29
3304	25
3304	26
3291	31
3291	33
3291	28
3261	36
3249	52
3318	29
3291	28
3249	52
3249	52
3249	44
3347	32
3304	22
3304	21
3351	22
3249	47
3369	23
3325	31
3336	27
3080	16
3279	33
3087	3
3279	30
3325	29
3080	3
3325	29
3279	27
3279	24
3279	24
3279	23
3279	24
3325	29
3080	39
3080	22
3286	19
3320	17
3325	24
3249	43
3249	46
3304	27
3347	26
3246	41
3279	28
3299	20
