Age	SiO2
3459	68.91
3459	67.82
3459	71.49
3440	69.21
3437	69.90
3437	66.50
3421	68.18
3421	67.00
3421	68.25
3421	64.74
3421	65.63
3369	70.62
3369	72.06
3369	72.09
3369	71.20
3363	71.03
3440	68.31
3347	72.50
3336	66.70
3331	69.76
3326	69.34
3323	70.10
3323	70.72
3323	71.52
3323	69.54
3323	69.58
3323	67.89
3323	70.16
3323	72.94
3316	72.85
3316	73.19
3316	71.77
3316	71.06
3300	68.95
3300	70.88
3300	68.68
3300	69.17
3300	68.35
3300	64.89
3300	71.45
3292	72.50
3291	72.30
3285	73.12
3261	70.11
3261	67.97
3246	69.95
3246	72.08
3246	73.85
3471	69.03
3470	72.30
3459	71.20
3459	74.60
3445	68.70
3445	69.80
3421	66.16
3421	63.16
3380	63.79
3369	73.14
3347	70.43
3336	68.80
3334	72.52
3325	72.18
3323	73.17
3316	73.43
3304	73.65
3304	74.54
3304	73.58
3304	73.83
3291	72.60
3291	71.90
3291	72.90
3261	71.02
3249	72.27
3318	71.30
3291	72.90
3249	70.61
3249	70.37
3249	71.65
3347	71.95
3304	75.18
3304	76.36
3351	73.23
3249	69.98
3369	75.71
3325	72.81
3336	71.90
3080	72.90
3279	74.12
3087	77.18
3279	73.37
3325	71.77
3080	75.30
3325	74.88
3279	74.63
3279	75.62
3279	74.51
3279	75.26
3279	75.11
3325	73.44
3080	71.50
3080	72.40
3286	72.78
3320	74.38
3325	75.53
3249	68.30
3249	70.30
3304	74.07
3347	72.95
3246	68.13
3279	73.96
3299	72.62
