Age	LaN/YbN
3459	44.29
3459	30.68
3459	21.13
3440	19.05
3437	52.26
3437	51.01
3421	32.76
3421	63.65
3421	26.12
3421	14.27
3421	5.60
3369	61.00
3369	71.78
3369	34.74
3369	32.38
3363	61.58
3440	26.69
3347	56.29
3336	109.37
3331	33.00
3326	56.04
3323	15.22
3323	84.46
3323	49.59
3323	40.08
3323	61.00
3323	36.20
3323	34.87
3323	36.28
3316	30.74
3316	47.89
3316	23.27
3316	53.84
3300	74.73
3300	131.56
3300	31.70
3300	46.87
3300	42.34
3300	41.51
3300	74.39
3292	37.86
3291	32.45
3285	22.08
3261	47.46
3261	42.32
3246	93.75
3246	51.90
3246	35.16
3471	7.50
3470	8.58
3459	9.51
3459	21.06
3445	54.57
3445	29.73
3421	14.54
3421	12.26
3380	19.31
3369	30.40
3347	32.91
3336	68.57
3334	31.49
3325	92.61
3323	25.68
3316	27.17
3304	28.82
3304	32.03
3304	22.71
3304	42.23
3291	51.84
3291	59.44
3291	53.02
3261	44.56
3246	45.58
3299	65.99
