Age	Sr/Y
3459	79.43
3459	62.75
3459	54.89
3440	40.38
3437	52.96
3437	37.33
3421	66.89
3421	43.67
3421	41.77
3421	37.06
3421	32.71
3369	104.40
3369	68.56
3369	67.33
3369	45.33
3363	95.00
3440	88.26
3347	59.00
3336	61.61
3331	32.93
3326	39.36
3323	142.20
3323	116.25
3323	108.75
3323	94.67
3323	87.43
3323	79.00
3323	72.57
3323	52.38
3316	64.40
3316	60.20
3316	58.88
3316	49.00
3300	190.75
3300	159.60
3300	88.57
3300	85.14
3300	75.50
3300	72.08
3300	70.33
3292	44.87
3291	41.34
3285	65.09
3261	44.50
3261	43.25
3246	81.50
3246	66.14
3246	40.50
3471	9.63
3470	18.11
3459	31.77
3459	69.33
3445	57.61
3445	23.13
3421	25.20
3421	26.38
3380	41.06
3369	46.63
3347	28.08
3336	27.86
3334	48.70
3325	94.43
3323	74.00
3316	28.00
3304	45.71
3304	52.86
3304	25.44
3304	54.33
3291	64.00
3291	59.87
3291	58.28
3261	50.00
3246	66.50
3299	25.56
