SlNo.	Rb	Nb	Ta	La	Ce	Nd	Sr	Sm	Ti	Eu	Gd	Tb	Dy	Y	Er	Yb	Lu	\n
Sng_0035	131.00	7.00	0.40	35.40	55.30	18.90	217.00	3.00	479.61	0.65	2.20	0.30	1.50	24.00	0.90	0.80	0.13	\n
Sng_0069	99.00	NaN	NaN	33.90	58.20	17.80	259.00	2.65	1169.04	0.62	1.61	0.17	0.80	3.70	0.29	0.23	0.04	\n
Sng_0020	101.00	8.00	NaN	40.30	67.10	21.40	243.00	3.10	1193.02	0.84	1.70	0.20	0.80	5.00	0.30	0.20	0.04	\n
Sng_0097	132.00	12.10	1.05	24.10	45.40	16.00	124.00	3.00	479.61	0.34	2.44	0.36	1.91	15.40	0.82	0.59	0.09	\n
Sng_0042	114.00	10.00	2.00	42.20	77.60	24.80	185.00	3.90	1978.38	0.79	2.80	0.40	2.40	17.00	1.20	1.10	0.18	\n
Sng_0039	210.00	13.00	1.90	49.80	88.60	28.50	122.00	4.50	1139.07	0.52	3.20	0.50	3.00	19.00	1.70	1.90	0.28	\n
Sng_0041	208.00	13.00	2.20	44.50	79.10	25.00	108.00	4.20	1019.16	0.48	3.00	0.50	3.10	18.00	1.70	1.90	0.26	\n
Sng_0038	168.00	9.00	2.10	66.90	119.00	34.30	185.00	5.10	839.31	0.58	3.80	0.50	2.20	12.00	1.30	1.30	0.22	\n
Sng_0055	129.00	NaN	NaN	20.90	40.30	12.80	278.00	2.23	173.86	0.58	1.37	0.18	0.79	4.00	0.34	0.39	0.06	\n
Sng_0104	121.00	8.90	0.79	27.60	49.10	15.90	206.00	2.80	1139.07	0.57	2.25	0.29	1.46	7.30	0.41	0.29	0.05	\n
Sng_0026	137.00	1.00	NaN	27.10	45.00	13.90	138.00	2.40	647.47	0.30	1.70	0.20	1.30	9.00	0.70	0.70	0.10	\n
Sng_0024	161.00	3.00	NaN	20.40	36.80	11.50	159.00	2.00	443.64	0.36	1.70	0.20	1.10	6.00	0.60	0.60	0.10	\n																	
Sng_0003	101.00	8.10	0.30	55.00	111.00	36.50	273.00	4.66	1558.72	0.77	2.48	0.32	1.08	5.20	0.36	0.33	0.05	\n
Sng_0054	206.00	NaN	NaN	16.30	29.90	9.76	114.00	2.07	449.63	0.30	1.97	0.35	2.25	13.50	1.39	1.32	0.20	\n
Sng_0137	165.00	12.00	3.80	43.70	78.80	24.50	239.00	3.80	1258.97	0.68	2.50	0.40	2.30	18.00	1.30	1.20	0.19	\n
Sng_0141	178.00	17.00	1.90	76.70	141.40	37.10	145.00	5.40	1378.87	0.56	5.20	0.80	4.90	37.00	3.00	2.60	0.40	\n
Sng_0134	163.00	8.00	0.80	79.80	138.00	37.60	161.00	5.20	1378.87	0.78	3.60	0.50	2.80	26.00	1.50	1.30	0.20	\n
Sng_0138	205.00	15.00	2.20	67.00	121.00	34.10	105.00	5.20	1019.16	0.57	3.90	0.60	3.80	27.00	2.20	2.50	0.38	\n
Sng_0139	221.00	25.00	1.80	37.50	73.10	22.00	75.00	5.00	719.41	0.35	4.90	0.80	4.30	27.00	2.50	2.90	0.43	\n
Sng_0140	272.00	18.00	2.40	23.40	44.00	14.20	62.00	2.90	359.70	0.27	3.20	0.60	3.50	25.00	2.40	2.50	0.37	\n
Sng_0136	145.00	11.00	0.70	48.50	91.60	28.50	101.00	4.60	659.46	0.52	3.00	0.40	2.00	12.00	1.00	0.90	0.16	\n
Sng_0128	107.00	7.00	2.70	56.20	98.40	27.60	231.00	3.60	1618.67	0.81	2.10	0.30	1.50	10.00	0.80	0.70	0.12	\n
Sng_0130	105.00	7.00	0.70	58.40	104.00	30.80	226.00	4.00	2038.33	0.94	2.30	0.30	1.50	11.00	0.80	0.80	0.12	\n
Sng_0133	103.00	8.00	0.70	54.90	99.60	29.30	183.00	3.60	1798.52	0.78	2.20	0.20	1.30	7.00	0.70	0.70	0.09	\n
Sng_0129	128.00	6.00	2.30	46.30	81.20	23.50	303.00	3.30	1678.62	0.74	1.90	0.30	1.40	9.00	0.80	0.70	0.13	\n
Sng_0131	95.00	6.00	2.00	61.60	106.00	30.90	334.00	4.10	1978.38	0.89	2.50	0.30	1.70	19.00	0.90	0.80	0.13	\n																		
Sng_0012	73.00	20.00	NaN	63.00	157.00	49.00	82.00	9.50	1798.52	2.62	8.50	1.32	7.40	21.00	4.30	4.00	0.64	\n
Sng_0108	125.00	19.20	1.60	56.80	108.00	39.20	74.90	7.61	1378.87	1.42	6.64	1.11	6.48	48.20	3.18	3.00	0.45	\n
Sng_0107	131.00	16.50	1.24	45.30	85.20	30.00	59.70	5.78	1498.77	0.93	4.95	0.84	4.82	38.00	2.41	2.34	0.35	\n
Sng_0110	101.00	24.30	1.79	67.20	108.00	38.50	128.00	6.15	779.36	0.85	5.75	0.72	2.77	19.60	1.45	1.39	0.21	\n
Sng_0109	167.00	13.20	1.35	32.60	61.10	20.90	51.10	4.14	539.56	0.43	3.48	0.55	2.71	16.70	0.97	0.90	0.14	\n